amountRaised,campaignTitle,currencyType,endDate,goal,numberContributors,story,url
0,I WONT GIVE UP- Pls Help me to achieve my dream!,U.S. Dollar,"Aug 15, 2018",of $1k goal,0,"Hii, im Kei. I am 15 years old and currently fighting for the last
  year in high school. I've 1 younger brother and 1 younger sister. I
  will graduate next year and i wanted to go to the finest colleges and
  studying in Visual Communication Design. Of course, i'll study hard to
  enter the university, but the problem is i really dont want to burden
  my parents for the fees. First of all, my english is bad, but i hope you could understand.. Reason: I found out that i'll need a laptop,
  drawing tablet, art equipments, and other fees for college that i
  can't afford. My laptop died, i've used it since 2012. And, i only
  have that. I used my own money that i've collected to buy a phone for
  myself. Now i cant do that again bcs i only have the money transport
  to go to school. My parents still have to pay off our house.
  They still have to pay for my school fee, course fee, and others. But
  i only live once, i cant just give up like that. i wanted to try my
  best bcs maybe t here are lots of other people out there who may
    want to be myself. I've to be grateful for my life by trying my best. I'll busy studying and practicing for school.. I can't focus on
    any part time job. I can't find it too, they said im too young. Y es, i entered school too fast. Oh, and i a little bit in a rush cs i really have to learn and
    practice with the laptop and drawing tablet before August. School
    will have so many exams, tests, homeworks, so i dont have much time.. Last, Thank you so much for all your supports, any amount helps. All donations greatly appreciated, and thanks for helping me to
    achieve my dream ! and also i just want to say that if you have a
    dream, dont give up! You'll never know before you try and dont quit
    trying too! Life is important, enjoy and be happy. Hope i could get a job in an Animation company!!",https://fundrazr.com/d1Mu9c
60,Faith and Family Films Projector/Sound Equipment,U.S. Dollar,,of $7k goal,3,"Faith and Family Films started in 2007 in a small church in New
  Hampshire and has sense expanded to more churches and halls in
  Vermont. As we seek to expand our reach we need your help. Hollywood
  is not interested in bringing good family and faith based
  entertainment to the nation, we look to fix that problem, at least in
  the New England area by offering films that may otherwise never get
  seen in this area. There are many small churches that cannot show films due to not
  having the proper equipment to do so. Our goal is to have our own
  equiptment to travel with so we can bring films like ""God's Not
  Dead"", ""Polycarp"", ""Herbie"", ""Welcome to
  Inspiration"", ""Heaven Is For Real"", ""Hoovey""
  and other great films to those who may not have the opportunity to see
  them otherwise. All of these films have been shown in the past and our
  future plans are to offer films like ""Do You Believe?"",
  ""The Faith of Our Fathers"", ""War Room"" and many
  other lesser known but just as good films to audiences aound the New
  England area, with a focus on Vermont and New Hampshire. We have had one organization in Vermont that recently cursed us
  during shows and purposly blocked the entrace so patrons could not
  attend or felt intimidated if they pushed by. this has not stopped our
  showings and is making our company stronger in its resolve to bring
  these films to the public. God has a bigger plan for this ministry and
  we already have had other churches step in to fill the void and we
  will continue to seek out more. Naturally we need to pay the royalties on each film, and in most
  cases we ask for a love offering which helps us cover expenses, and
  that's about all we do, cover our expenses. This is why we need your help. In 2015 we will have at least 37 showings of different films in
  different locations around NH and VT and we hope to add more! VT is
  currently considered the least religious, or most secular, state in
  the union. Please consider helping us with this great task at hand to spread
  Gods Word through film to more and more people. We currently do not
  charge any admission for our screenings, however we do ask for a love
  offering to help cover expenses, which they do in most cases. this is
  why we need your help to expand and spread Gods Word. The
  possibilities are unlimited with your help. A special thank you to Jesse at RacMan Christain Radio for producing
  our video!",https://fundrazr.com/1xHQd
5,WTH Short Films,,,,,"If you already here, that means you like us. We would like to use our movies for a good cause too. Hopefully, we are entertaining you,in addition we want to give a meaning to what we do for fun and hope WTH can put that to a good cause. Support us!",https://fundrazr.com/59kJ7
1,Badland Films needs your help!,U.S. Dollar,,of $1k goal,1,"We are fundraising money for our movie ""Lost Boy: The Bobby Driscoll Story"". Bobby was the voice behind Peter Pan and his story is interesting and deserves to be told. We need help raising money for the cost of equipment and travel expenses.",https://fundrazr.com/6Pxq7
20,"New Path Films ""Crazy Daze"" fundraiser",U.S. Dollar,,of $5k goal,1,"New Path Films will be having a Red Carpet Fundraising party on April 26th Friday 6pm . It will be held the at the Hilton in San Bernardino. Come and join us as we raise money for our upcoming film Crazy Daze... Tickets will be $20 per person. There be a Dj, music, dancing, games, Raffle some prizes, food (appetizers), cake, drinks (no alcohol, alcohol will only be serve at the bar). and much more. We will also show four scenes from the movie. We need your help to make this movie happen, come and show your support as we rock the night away... if your not able to show up to the event and still would like to show your support by donating money, anything helps. Anything from $1 to $20 will be kindly appreciate... -All tickets sold are non refundable... thank you and we hope to see you at the event",https://fundrazr.com/1Smm9
"1,735",The Return of Dark Knight Films,U.S. Dollar,,of $5k goal,50,"**A $100 donation will receive the ENTIRE Mikayla or
      Nina video catalog!** After an unexpected 7-year hiatus, the return of Dark Knight
    Films is now in full swing! All monies raised will be used to launch
    a new website, purchase a new HD camera package, and recruit new
    models for the next wave of upcoming video productions!",https://fundrazr.com/a19b49
20,Donate to keep The Animation Blog online!,U.S. Dollar,,of $150 goal,1,"$150 is the amount needed to pay domain and hosting fees for an
  entire year. Any amount helps. Thank you.",https://fundrazr.com/emWf4
"2,410",Kate's Film Startup Campaign,U.S. Dollar,,of $3k goal,20,"Please help support my new film project and digital space, that will
  connect non-profits and community organizations with films related to
  their mission. I am also in development on my own film project, I will
  be updating supporters with private messages as we go along.",https://fundrazr.com/katescampaign
150,Junk Food & Horror Films,U.S. Dollar,,of $3k goal,2,"Junk Food and Horror Films is a short film about the triumph of an
  underdog with an overactive imagination. The main character, Jared, is just trying to go out and get some
  snacks and return in time to enjoy a horror film marathon, when he
  experiences a horror-like adventure of his own. This film touches on many themes: parent-child conflict, romance,
  horror, paranoia, and more. The audience will find themselves
  enthralled by this short film, rooting for Jared as he struggles
  through the past, present, and future... Hello, I'm Zak and I need just a little bit of funds for my upcomng
  thesis project. Even though my actors are working for free, I would at
  least like to feed them and pay for travel expenses and their is some
  equipment I would like to get for the project. I already have a good camera and most of the lighting equipment I need. I need props, food and paying for travel and also to rent some more
  equipment I do not have. This would really help out.",https://fundrazr.com/1flm7
25,Jeep Klips Adventure Films,Australian Dollar,,of $1k goal,2,"As some of you may know by now, I make films of almost every trip we
  do with our Jeeps. My YouTube channel 'JeepKlips' has over 14900 views
  and almost 100 subscribers. My films showcasing what we do as Jeepers
  have have been seen by people all across the world and I have actually
  spoken to people who joined this page because of my films. In order to
  keep moving forward with the channel and increase the quality of my
  films I ask that you give whatever you can to help me produce even
  better films than I do now. I will use your kind donations to purchase
  some HD filming equipment as well as a decent mic to add commentary to
  my films which will give them some much needed context as to what is
  going on.",https://fundrazr.com/av1X9
"3,950",Oriole Park Pre-Production Fund,U.S. Dollar,,of $5k goal,29,"Things are getting exciting for ORIOLE PARK as we
  continue our march toward production in the spring of 2015! Recently,
  we were named indieWIRE's Project of the Day and then won a hard fought battle for Project of the Week . We've also
  been one of the top trending films on Slated.com for several months! For those who don't know, Joey King ( Wish I Was Here, FX’s Fargo ) is attached to star and Joel Murray ( Mad Men, God Bless
  America ), and Christian Stolte ( Public
    Enemies, Chicago Fire ) will all play supporting roles. Our director is Kevin Slack , an accomplished music video
  director whose work includes The Gaslight Anthem’s “ Here Comes My Man ” and “ Handwritten ,” both of which have more than 1
  million views each online, and our composer is The Gaslight Anthem 's lead singer/songwriter
  Brian Fallon himself! We've also signed a sales agency agreement with Shoreline Entertainment , which means that after
  the film is made, they'll help us get it into theaters, on DVD, and
  VOD around the globe. As mentioned above, the film on Slated.com where you can see more
  details and watch the director's pitch video: ORIOLE PARK . We are in active pre-production (casting actors, working with our
  director, putting the production team in place) while we raise the
  money we need to fund the film, because we intend to begin shooting as
  early as May 2015. Because of the generous contributions we've received so far, we've
  been able to set up the Oriole Park LLC, hire a lawyer, draft
  contracts, and fly in Kevin to conduct location scouts and hold a
  table read with actors. The next phase of our journey involves
  drafting all of the legal documents we need, hiring the casting
  agency, a trip to LA to meet with actors and investors, and bringing
  Kevin back to Chicago for further pre-production and location scouting. We are reaching out to you today to ask for a contribution to help
  seed the next phase of the production. All contributions will assist
  with the film's operating expenses and will count towards the final
  budget. Of course, you are under no obligation to make a contribution. If you aren't in a position to make a contribution, all prayers, well
  wishes, and positive vibes are also welcome. Thanks for all your love and support, Amelia & Eric Corn
    Bred Films",https://fundrazr.com/br498
"1,000",Megabat,U.S. Dollar,,of $1k goal,14,"Hello!! The TCU Student Filmmakers' Association is back with
    three new films this semester. Megabat , our first in line
    of production, is a mockumentary following the lives of officers
    Charlie Gordon and Bert Fox. Any donations will be greatly appreciated!",https://fundrazr.com/11I4U0
0,Tanika Travel disabelt on bed around the world,Euro,,of €100k goal,0,"My dream. Travel the world lying on bed My name is Tanika de Koning (26 years) My dream is traveling around the world, even though I am handicapped
  on bed. I believe in making the impossible possible. I have a rare
  muscular disease, and have been locked up in my room for years. But I
  am a fighter and I am crazy for my dreams, my passions and my talents.
  I'm in love with India. India is my dream country where I really want
  to go. From my childhood I dreamed of it. It makes my heart beat
  faster, the music makes me happy, the Bollywood movies inspire me. The
  love for India is almost impossible to explain. My spirit, my heart is
  there. I believe India will change my life. It's my destiny. Unfortunately, I can not buy a ticket like other people, sit and
  travel, and just walk in a car or train. Financially, I do not manage
  to do this. I am trying to find it very hard with savings and things,
  but after speaking to the organization, I have to pay eight times the
  airline ticket. I also need at least one supervisor, actually two.
  People taking care of me, lifting, helping etc. Because I have to pay
  separately for a stretcher, and because I have to pay for the chairs
  with the stretcher. And I can not raise that money ... In addition, a special van has to be made in India where I can lay on
  a bed (a high bed in which I can drive around and sleep). Also,
  overnight stays must be arranged for a special bed. These are all
  challenges, and also the financial costs involved. India is obviously
  not the country like in the Bollywood films. India is so big and so
  diverse. I want to travel there, but not alone. Bollywood industry In spite of the fact that I am in bed, I want to visit the
  bollywood the industry, writing scripts, acting, modelling in a
  variety of areas, and especially not my fashion. I am a high fashion
  designer and artist. It seems great to me to make beautiful outfits
  for the movie industry, but also to work with local people, and to
  start something. Thus, I can share my talents with my dream country. I
  also design on paper, because if people ask about it, lying on my side
  with pillows below, but unfortunately I can not sew it. Therefor I
  need other great people to work together, and make the creations alive. The movie industry has shown interest in me through social media. I
  have to say that on my photos you often do not see me being sick. But
  even then people are interested, but they all ask when you come here.
  This hurts my heart because they do not know how much I like to go to
  India. That sense of desire for your dream country, to your
  destination, but it also gives me an additional incentive to combine
  everything. I also hope with my art, with my talents, toever do it all
  by myself, and to regain my freedom with this. I also hope to be able to follow courses. For example, you will soon
  be in the movie industry, and you could learn a lot. In addition, I
  saw that courses from New York are given this year, wow “Sudha Chandran is a exemple of a disabled and actress” Traveling through India Of course next to the Bollywood industry, I want to travel through
  India and experience the life there, the feeling, the atmosphere, the
  colors, the scents, the people, the adventures, so you feel you're
  alive, one with everything. You can visit so many places in India. For
  me, this would be an additional challenge, as many old buildings, busy
  traffic, and there must be good roads and private hospitals. But most
  of all, I would see a lot, but, of course, the magic Taj Mahal.
  Besides, there are so many beautiful magic spots. Also I have contact
  with an organization that is just fine for Bollywood industry, so I
  have to go to Mumbai. I would also like to see nature, but I do not
  know if this is possible. I am grateful for everything I can see and
  experience. I hope, of course, to visit some festivals, Diwali or Holi
  or another, in terms of health, it should be possible, but I'm someone
  who gives everything. Divya II have one more reason. To meet Divya, my financial adoptive
  girl. I have a financial adoptive girl in southern India since I was
  19. Her name is Divya, and I love her, even though we never met. I'm a
  kind of mother, but more a girlfriend, helper, I have many caps on, we
  care a lot and I want the very best for her. And super good news:
  Through my help all those years, she goes to college to do a degree.
  She is the first of the organization to do this and I am very proud of
  her, so very proud. She worked so hard and I believe in her and will
  always believe in her. We have a wish together, and that is to really
  meet each other. All those years I wrote her that I worked on it, and
  I do, but unfortunately I did not succeed yet, but I keep on fighting.
  Because I wish with all my heart and soul that we meet each other. And
  I could finally give her all my love and support. The organization
  advised me to let her fly to me re that said to live far away, this
  can not be funded. So this is the case, but I want this so so when I
  finally go to India, I will definitely do that and open my arms and
  finally we can hug each other. Health treatment And not at least my health. If I finally go to my dream country, I
  want to stay longer. I know they have many things in India for health.
  I also have a Neuroborriolosis, in India, shows here what has to be
  done. Ayurveda treatments are also recommended to me. The doctors in
  the Netherlands gave me up and can not help me anymore, not even minor
  infections of anything. Therefore, I have to look elsewhere, so I want
  to grab chances with both hands. And try to at least get relief,
  especially for the intense pain, that would be something. That would
  be a great miracle! My father and I My father and I have a special band. Besides being there for me 24/7,
  picking me up, turning, eating, drinking, etc., our dream has always
  been to go to India. He also wanted to go to India in his youth, but
  life was hectic and he did not succeed. Then I was born and thus his
  love for travel, and especially to Indian areas, became extra strong,
  as if the other half of my soul lives there sometimes. My father told
  me about his dream .... he has not been able to travel for years and
  cares for me. I am so grateful to him, and it is not very good with
  him in terms of private circumstances. As long as my dad can lift and
  take care of me, we want to make this trip, because I do not know any
  other people who can, and he can not afford to do it. He grows older,
  I'm not getting in better health. My illness is progressively worse
  every year. If we still want to do this, and I want to give him this,
  and if he can go to a historic building, but I do not know that
  there's a super sweet person with me. I probably need somebody to
  really wash me, but find and arrange for me to help me so that my
  father can see and see it. So that he lives, I give him that too, it's
  also his childhood dream. Fashion and more My dream, health, passions and talents, experiences, love. My
  destination, as you can read. I want to try a lot and get it all out.
  I also have many fans in India for my work, my artwork, my fashion and
  more. I would like to try and arrange for them a greeting and
  greeting. I also hope to arrange a fashion show. I know someone who
  organizes events, so who knows if I can combine it? I hope so, so that
  local people can start a business for my foundation to help me, myself
  and others, to make something awesome with that talent. Psssst,
  secretly I want to live there hihi, even though I've never been there
  and I can't endure heat, and it's very hot there ... I hope to find a
  way I can make a bed with a kind of cooling system, so that I can keep
  it cool. I finally hope to come to my beloved India, despite pain and
  disability. I try to leave all my bad things behind me and make a new
  start in my beloved country. I know it would be intense, and I would
  have to rest a lot, but it's the country of yoga and gurus. My sweet dogs I have three shih tzu's and they are my everything, my angels on
  earth, and can not live without them. If I would make a short trip,
  then they should be kept in a nice spot, but I'm going to my
  destination, my core dreamland. So I want to go there too. The dogs
  must come there if this is possible. There are so many reasons I want
  to go there and there are so many possibilities there, but I have to
  get there first. This costs a lot of adjustments, wins, knocks,
  fighting and risks also take health because I've also attacks, and
  then I'm completely dependent of others, but there are also costs,
  things have to be created and, as I said, flying is already at least
  eight times the price, plus the stretcher plus, I have to pay at least
  one companion, the van, adjusted bed, places of stay, guides, health
  treatments also cost a lot of money. But I'm so grateful for
  everything that's going to happen. My thanks would be forever for you,
  and who knows, I can think of something that, if I can, for the people
  who want to take you with me a bit, when I talk on social media. Much
  love, Tanika. I suffer a lot, more then I tell or show, my looks are
  just looking normal, but I lay down on bed, because my bed is my
  wheelchair... that is a diffrent story. But I keep strong and will
  always fight for myself and others. Go follow your dreams! you can also donate on the foundation (stichtingtanika) with
  titel project India Om Stichting Tanika te ondersteunen kunt u geld overmaken
  op girorekening: 5593955 t.n.v. Stichting Tanika te Amsterdam IBAN: NL30INGB0005593955 BIC: INGBNL2A K.v.K. nummer: 34394153",https://fundrazr.com/71MTQ5
"1,110",Death In A Dumpster: Making Of A Musical,Canadian Dollar,,of $10k goal,5,"Death In A Dumpster: Making Of A Musical is a
  documentary about the struggles and triumph of 9 street youth. Some
  homeless. Some fighting personal challenges, but all fighting against
  the societal stigma and perception that comes with being street-involved. Filmed behind the scenes over the course of 7 months. Death In A
  Dumpster: Making Of A Musical is almost complete, but WE NEED YOUR
  HELP to help us finish the final product. All proceeds from this campaign will pay for editing and sound
  production of all 5 episodes leading up to and including the final performance. Please contribute. This film is more than just a documentary. It is
  about what is achievable and #nooneisdisposable",https://fundrazr.com/a16wXa
50,JOEYWOOD FILMS,U.S. Dollar,,of $10k goal,1,"I'm a totally deaf.  I'm a director / producer of JOEYWOOD FILMS here in Upstate, South Carolina.  I start a fundraiser to support JOEYWOOD for making films with actors and actresses.  And we need equipments.  Thanks! Director of JOEYWOOD, Joey Johnson",https://fundrazr.com/aQnfb
960,Help Pro Club build robotic inventions,U.S. Dollar,,of $930 goal,9,"Aloha-Huber Park Elementary Middle School students have access
    to excellent reading, writing and math instruction, but we know that
    they need opportunities to learn and excel in 21st century skills
    such as design, engineering, and programming in order to make it in
    today’s marketplace. We currently have 20 5th-8th graders who are committing
    themselves to an After School Club called Pro Club where students will work collaboratively to produce films, build
    robots, program video games, make music and more.  These robots will
    give our students a reliable resource to make prototypes to make
    their creative vision a reality.  They will also serve as resources
    for our entire student body for the years to come, as we seek to
    continue to integrate STEM Engineering and Programming topics into
    our curriculum. Aloha-Huber Park K-8 serves a community with a high percentage
    of poverty.  The easy access to enrichment programs found in other
    local neighborhoods is not readily found at Aloha-Huber yet.  Please
    help an energetic staff and student body change this by funding the
    purchase of these robotic kits.  This equipment will help us to
    inspire students to take their learning, creativity, and design
    skills to the next level. The money will be used to purchase: 2 Lego Mindstorms Education EV3 Core set = $779.90 1 Parrot Mambo Code = $150",https://fundrazr.com/AH_Pro_Club
15,STAR CINEMA,U.S. Dollar,,of $1.5M goal,2,"Hello, My name is Christiyan  Hristov Ivanov. I'm from Bulgaria and I have
  recently moved to the country of the unlimited opportunities - The
  United Stated of America. I'm came here to fulfill my American dream. I have always dreamed of
  having my own movie theater. I have been working as cinematographer in
  a cinema and I've seen a lot of things that I could do better, smarter
  and more efficiently. Here is a description of my business idea. A movie theater, which is also called a cinema is a venue, usually a
  building that contains an auditorium for viewing films/movies or
  motion pictures as it is called in some quarters, for the purpose of
  entertainment or perhaps education. Almost all movie theaters are
  commercial operations open to the general public, who attend by
  purchasing a ticket. The Tickets It is not always easy to buy a movie ticket especially when the movie
  you want to watch is in the caliber of Star wars or Marvel movies. We
  will have an online system where you can buy your ticket. You will say
  “Ok that is not new every movie theater has that option”, but you will
  also have the option of choosing where to seat in the hall. Before
  getting to the stage of paying for your tickets you will see a map of
  the hall. From this map you choose the best seats available. And it is
  not only this. You will be able to make a reservation. For example –
  you want to watch a movie at 6pm but you are not sure you will be able
  to finish what you are doing before 6pm. You don’t need to buy your
  ticket and than loose the money because you were not able to come. You
  will be able to make a reservation, and again choose your seats. You
  do not need to pay. The only thing you need to do is show up 20
  minutes before the movie starts, show your reservation number, pay for
  the tickets and that is it. If you do not show up to get your tickets
  20 minutes before the movie starts, the system automatically will
  delete your reservation and you don’t lose money because you did not come. The movie theater it self The movie theater will have 5 fully equipped with the best projection
  machines. The 1st hall will be a VIP hall. The tickets will be a
  little bit more expensive compared to standard halls. You will be to
  lay dawn and watch your movie, even have you own table to put your
  popcorns, nachos or whatever you got to eat while watching. 2nd
  hall will be equipped with a 4DX system. This system allows to feel
  things, like different smells, water, wind, explosions. 3rd hall
  will be an IMAX hall. This is one of the best options if you are a big
  fan of 3D movies. 4th and 5th halls will be standard halls.",https://fundrazr.com/41MW96
